timestamp,board,hostname,cpu_mhz,aes_hw,openssl_armcap,hw_accel_enabled,algorithm,construction,key_bytes,nonce_bytes,payload_bytes,reps,enc_median_ms,enc_iqr_ms,enc_mean_ms,enc_sd_ms,enc_min_ms,enc_max_ms,dec_median_ms,dec_iqr_ms,dec_mean_ms,dec_sd_ms,enc_throughput_mbs,dec_throughput_mbs,enc_cpu_time_s,dec_cpu_time_s,tracemalloc_peak_kb,rss_delta_kb,ciphertext_bytes,overhead_bytes,overhead_pct
2026-08-29T17:10:03,Raspberry Pi 5 Model B Rev 1.0,raspberrypi4,2400,True,default,True,AES-256-GCM,"block, CTR + GHASH",32,12,64,50,0.001333,3.7e-05,0.001689,0.00222,0.001297,0.017037,0.001278,3.6e-05,0.001303,7.9e-05,48.012,50.0782,9.5e-05,7.3e-05,0.21,0.0,80,28,43.75
2026-08-29T17:10:03,Raspberry Pi 5 Model B Rev 1.0,raspberrypi4,2400,True,default,True,AES-256-GCM,"block, CTR + GHASH",32,12,256,50,0.001445,1.9e-05,0.001473,9.8e-05,0.001425,0.002093,0.001389,1.9e-05,0.001415,9.6e-05,177.1627,184.3052,8.2e-05,7.8e-05,0.58,0.0,272,28,10.938
2026-08-29T17:10:03,Raspberry Pi 5 Model B Rev 1.0,raspberrypi4,2400,True,default,True,AES-256-GCM,"block, CTR + GHASH",32,12,1024,50,0.001982,5.5e-05,0.002018,0.000132,0.001963,0.002666,0.001926,1.8e-05,0.00195,0.000139,516.6499,531.672,0.000111,0.000105,2.08,0.0,1040,28,2.734
2026-08-29T17:10:03,Raspberry Pi 5 Model B Rev 1.0,raspberrypi4,2400,True,default,True,AES-256-GCM,"block, CTR + GHASH",32,12,4096,50,0.003593,5.5e-05,0.003619,8.7e-05,0.003555,0.004092,0.003454,0.000222,0.003597,0.000264,1139.9942,1185.8715,0.00019,0.00019,8.08,0.0,4112,28,0.684
2026-08-29T17:10:03,Raspberry Pi 5 Model B Rev 1.0,raspberrypi4,2400,True,default,True,AES-256-GCM,"block, CTR + GHASH",32,12,19200,50,0.011593,5.6e-05,0.011648,0.000155,0.0115,0.012407,0.013751,0.001592,0.014329,0.004108,1656.1719,1396.3128,0.000592,0.000731,37.58,0.0,19216,28,0.146
2026-08-29T17:10:03,Raspberry Pi 5 Model B Rev 1.0,raspberrypi4,2400,True,default,True,AES-128-CCM,"block, CTR + CBC-MAC",16,12,64,50,0.001963,3.7e-05,0.002019,0.000176,0.001926,0.002796,0.001908,3.7e-05,0.001939,8.2e-05,32.6031,33.543,0.000111,0.000104,0.21,0.0,80,28,43.75
2026-08-29T17:10:03,Raspberry Pi 5 Model B Rev 1.0,raspberrypi4,2400,True,default,True,AES-128-CCM,"block, CTR + CBC-MAC",16,12,256,50,0.002129,7.4e-05,0.002186,0.000196,0.002111,0.00324,0.002185,3.7e-05,0.002605,0.002663,120.2443,117.1624,0.000119,0.000138,0.58,0.0,272,28,10.938
2026-08-29T17:10:03,Raspberry Pi 5 Model B Rev 1.0,raspberrypi4,2400,True,default,True,AES-128-CCM,"block, CTR + CBC-MAC",16,12,1024,50,0.003018,3.7e-05,0.003347,0.001971,0.002963,0.016908,0.003186,5.5e-05,0.003251,0.000202,339.2414,321.4565,0.000178,0.000171,2.08,0.0,1040,28,2.734
2026-08-29T17:10:03,Raspberry Pi 5 Model B Rev 1.0,raspberrypi4,2400,True,default,True,AES-128-CCM,"block, CTR + CBC-MAC",16,12,4096,50,0.006185,9.2e-05,0.006244,0.000239,0.006111,0.007482,0.006852,0.000389,0.00708,0.000598,662.1939,597.7381,0.000321,0.000366,8.08,0.0,4112,28,0.684
2026-08-29T17:10:04,Raspberry Pi 5 Model B Rev 1.0,raspberrypi4,2400,True,default,True,AES-128-CCM,"block, CTR + CBC-MAC",16,12,19200,50,0.022,0.000221,0.022124,0.000307,0.021852,0.023111,0.026713,0.002129,0.026896,0.001498,872.7273,718.7646,0.001116,0.001362,37.58,0.0,19216,28,0.146
